Company,Job Category,Title,Processed Title,Min Salary,Max Salary,Adjusted Salary,Last Update
-,Business Development / Sales,Sales Executive / Up to $10000 (with Comms) / Flexible Working Hours / CBD and Remote Work,"['sale', 'execut', 'Up', 'to', 'with', 'comm', 'flexibl', 'work', 'hour', 'cbd', 'and', 'remot', 'work']",2000,4000,2400.0,2020-11-20
Braverywf,Business Development / Sales,Sales & marketing ,"['sale', 'market']",2000,3300,2120.0,2020-11-14
Goldbell ,Business Development / Sales,Leasing Executive (GBCR),"['leas', 'execut', 'gbcr']",2000,2000,2000,2020-11-24
Environmental Solutions (Asia) Pte Ltd,Software Engineering,IT Engineer,"['IT', 'engin']",3500,4000,3500,2020-11-25
Talentvis Singapore,Administrative, Admin Assistant | Pasir Ris | Up to $1700 | Office hours,"['admin', 'assist', 'pasir', 'ri', 'Up', 'to', 'offic', 'hour']",1500,1700,1500,2020-11-17
Motorist Pte Ltd,Business Development / Sales,Media Sales Executive,"['media', 'sale', 'execut']",2500,3200,2500,2020-11-24
Beyondsoft International (singapore) Pte Ltd,Other,Production Assembly Test Technician,"['product', 'assembl', 'test', 'technician']",2000,2550,2000,2020-11-18
Ef Software Pte Ltd,Software Engineering,Software Developer,"['softwar', 'develop']",2500,3500,2500,2020-11-18
Hodie Marketing,Business Development / Sales,Business Development Associate ,"['busi', 'develop', 'associ']",2500,4500,2800.0,2020-11-22
Million Marketing,Business Development / Sales,B2B Customer Acquisition,"['b2b', 'custom', 'acquisit']",2500,5500,3200.0,2020-11-18
The Care Svc,Operations,Bubble Tea Basrista,"['bubbl', 'tea', 'basrista']",1600,2000,1600,2020-11-23
Unravel Studios Pte Ltd,Marketing,Digital Marketing Specialist,"['digit', 'market', 'specialist']",3000,4000,3000,2020-11-12
Advantage Group - Singapore,Business Development / Sales,Business Development Executive,"['busi', 'develop', 'execut']",2000,4000,2400.0,2020-11-23
Fermax Asia Pacific Pte Ltd,Engineering,Service Technician,"['servic', 'technician']",1800,2999,1919.6000000000001,2020-11-13
Fill A Pita,Hospitality and Travel,F&B Front of House,"['F', 'B', 'front', 'of', 'hous']",1500,2500,1600.0,2020-11-18
Infinite Computer Solutions Pte Ltd,Operations,Desktop Support Engineer,"['desktop', 'support', 'engin']",1700,2200,1700,2020-11-23
Dow Technologies And Systems,Software Engineering,Software Developer - RPA,"['softwar', 'develop', 'rpa']",6000,7000,6000,2020-11-20
Stagencies Pte Ltd,Other,General Jobs | Respected Roles | Career Stability,"['gener', 'job', 'respect', 'role', 'career', 'stabil']",1300,1800,1300,2020-11-25
Sagepaths Global Education,Administrative,Accounts Executive,"['account', 'execut']",1800,2300,1800,2020-11-16
Prelude Recruit,Business Development / Sales,Sales and Project Development Representative (B2B Sales),"['sale', 'and', 'project', 'develop', 'repres', 'b2b', 'sale']",2500,3200,2500,2020-11-22
Hyper 21 Enterprises Pte Ltd,Design,Sales Executive (Interior Design Platform),"['sale', 'execut', 'interior', 'design', 'platform']",1800,3000,1920.0,2020-11-21
Anytime Fitness,Business Development / Sales,Gym Club Assistant,"['gym', 'club', 'assist']",1800,2500,1800,2020-11-16
Climb Central Pte Ltd,Finance,Accounts Executive,"['account', 'execut']",2000,2400,2000,2020-11-17
Maveric Systems Ltd Singapore Branch,Engineering,Business Analyst - T24 Domain,"['busi', 'analyst', 't24', 'domain']",7000,9000,7000,2020-11-19
Accela Pte Ltd,Operations,Part-time Production Coordinator,"['part-tim', 'product', 'coordin']",1600,2300,1600,2020-11-20
-,Finance,‼️FAST CONFIRMATION‼️ Up to $5000/mth ✨Sales Executive ✨ ,"['‼️fast', 'confirmation‼️', 'Up', 'to', '5000/mth', '✨sale', 'execut']",2000,5000,2800.0,2020-11-20
Haulio,Administrative,Junior Client Success (Fresh Graduate),"['junior', 'client', 'success', 'fresh', 'graduat']",1800,2200,1800,2020-11-19
The Heron Marketing,Business Development / Sales,Corporate Brand Associate,"['corpor', 'brand', 'associ']",2500,5500,3200.0,2020-11-16
Above1,Design,Creative Designer,"['creativ', 'design']",1500,1800,1500,2020-11-16
Shinzo Japanese Cuisine,Marketing,Marketing Associate ,"['market', 'associ']",700,1000,700,2020-11-20
Gan Teck Kar Investments Pte Ltd,Software Engineering,Software Developer,"['softwar', 'develop']",2000,5000,2800.0,2020-11-13
Normn.io,Business Development / Sales,Mortgage Ambassador,"['mortgag', 'ambassador']",2400,3400,2400,2020-11-25
One Click,Marketing,Sales & Brand Marketing Associate (Nov/Dec Intake),"['sale', 'brand', 'market', 'associ', 'nov/dec', 'intak']",2500,3500,2500,2020-11-26
Butler,Human Resource,HR Executive,"['HR', 'execut']",500,3000,1400.0,2020-11-20
Normn.io,Administrative,Financial Paraplanner,"['financi', 'paraplann']",750,1000,750,2020-11-20
Blue Orange Pte Ltd,Business Development / Sales,Part-time education sales consultant,"['part-tim', 'educ', 'sale', 'consult']",640,1280,768.0,2020-11-22
-,Finance,🔥HIRING🔥 FINANCIAL ADVISORS/ MANAGEMENT ASSOCIATES (from $1800-$2500)🧑🏻‍💻👩🏻‍💻,"['🔥hiring🔥', 'financi', 'advisors/', 'manag', 'associ', 'from']",1800,2500,1800,2020-11-20
Normn.io,Business Development / Sales,Wealth Management Trainee,"['wealth', 'manag', 'traine']",1500,5000,2600.0,2020-11-26
Senoko Energy Pte Ltd,Engineering,Technical Officer(Electrical) 9mth#SGUnitedTraineeship,"['technic', 'offic', 'electr', '9mth', 'sgunitedtraineeship']",1800,1800,1800,2020-11-18
Hopvation,Design,Graphic Designer ,"['graphic', 'design']",1800,2600,1800,2020-11-17
Mrc Ventures Pte Ltd,Business Development / Sales,Sales Manager,"['sale', 'manag']",4000,4800,4000,2020-11-23
Mrc Ventures Pte Ltd,Business Development / Sales,Sales Development Representative,"['sale', 'develop', 'repres']",2700,3600,2700,2020-11-23
Roycemedia Technologies Pte Ltd,Engineering,System Engineer,"['system', 'engin']",2500,3000,2500,2020-11-12
Dalstech Pte Ltd,Software Engineering,IT Network Engineer,"['IT', 'network', 'engin']",2500,6000,3400.0,2020-11-13
Treedots Enterprise (Private Limited),Finance,Finance Manager,"['financ', 'manag']",3000,3400,3000,2020-11-21
Eltean Agencies Pte Ltd,Marketing,Marketing and Events Executive/Assistant,"['market', 'and', 'event', 'executive/assist']",1800,2500,1800,2020-11-24
Maveric Systems Ltd Singapore Branch,Consulting,Business Analyst - SME payments,"['busi', 'analyst', 'sme', 'payment']",5000,7000,5000,2020-11-26
Motorist Pte Ltd,Business Development / Sales,Car Sales Executive (Indoor),"['car', 'sale', 'execut', 'indoor']",1500,2000,1500,2020-11-23
Treedots Enterprise (Private Limited),Other,Warehouse Assistant,"['warehous', 'assist']",1600,1700,1600,2020-11-18
Stack 22 Pte Ltd,Software Engineering,Mobile App Developer,"['mobil', 'app', 'develop']",4000,6000,4000.0,2020-11-18
E&w Enterprise,Operations,SERVICE CREW,"['servic', 'crew']",1500,1600,1500,2020-11-17
-,Finance,[FAST HIRE!] Finance Management Trainee / $2000 TO $4000 / CBD / Permanent/ Good Work-Life Balance ,"['fast', 'hire', 'financ', 'manag', 'traine', 'TO', 'cbd', 'permanent/', 'good', 'work-lif', 'balanc']",2000,4000,2400.0,2020-11-20
Hopvation,Media & Communications,PR Manager,"['PR', 'manag']",2700,3000,2700,2020-11-23
Ef Software Pte Ltd,Engineering,IT Support,"['IT', 'support']",1800,2500,1800,2020-11-18
Skillsolved,Marketing,Creative Digital Strategist & Marketing,"['creativ', 'digit', 'strategist', 'market']",1000,10000,4400.0,2020-11-17
ACKTEC Technologies,Design,UI/UX Designer,"['ui/ux', 'design']",1800,3000,1920.0,2020-11-13
RL Consultancy Pte Ltd,Marketing,Marketing & Communications Assistant,"['market', 'commun', 'assist']",2000,2500,2000,2020-11-25
Sagepaths Global Education,Administrative,Admissions Support Associate,"['admiss', 'support', 'associ']",2000,2500,2000,2020-11-17
HighSpark Pte Ltd,Consulting,Account Executive / Project Manager,"['account', 'execut', 'project', 'manag']",2500,3200,2500,2020-11-13
Pinnacle Stars,Finance, Sales Executive (Financial) ,"['sale', 'execut', 'financi']",2000,5000,2800.0,2020-11-13
Stagencies Pte Ltd,Engineering,Continental Car Mechanic,"['continent', 'car', 'mechan']",2500,3500,2500,2020-11-25
Beyondsoft International (singapore) Pte Ltd,Other,R&D Firmware Engineer,"['R', 'D', 'firmwar', 'engin']",3000,4000,3000,2020-11-18
Ideal Healthcare,Other,Beauty Therapist,"['beauti', 'therapist']",1500,3000,1800.0,2020-11-12
Benel Singapore Pte Ltd,Business Development / Sales,Sales Executive ,"['sale', 'execut']",2500,3500,2500,2020-11-13
Shinzo Japanese Cuisine,Marketing,Digital Marketing Associate,"['digit', 'market', 'associ']",700,1000,700,2020-11-23
greypanel,Consulting,Network Support Engineer,"['network', 'support', 'engin']",1600,3000,1840.0,2020-11-17
Eltean Agencies Pte Ltd,Business Development / Sales,Business Development Assistant / Executive,"['busi', 'develop', 'assist', 'execut']",1800,2500,1800,2020-11-23
Credit Culture,Finance,Client Associate/Credit Control Officer,"['client', 'associate/credit', 'control', 'offic']",2500,3000,2500,2020-11-12
Fam Solutions Pte Ltd,Marketing,Digital Marketing Manager,"['digit', 'market', 'manag']",2200,3200,2200,2020-11-18
Seamobi Tech Pte Ltd,Marketing,Ad Operations Executive,"['Ad', 'oper', 'execut']",2000,4000,2400.0,2020-11-19
The Kettle Gourmet Pte Ltd,Operations,Operations Executive For Popcorn Company! ,"['oper', 'execut', 'for', 'popcorn', 'compani']",800,1000,800,2020-11-21
RL Consultancy Pte Ltd,Administrative,Executive Assistant,"['execut', 'assist']",2500,3000,2500,2020-11-25
Gram Pte Ltd,Design,Senior Motion Graphic Artist,"['senior', 'motion', 'graphic', 'artist']",750,1200,780.0,2020-11-18
Snapcut,Marketing,Influencer Manager,"['influenc', 'manag']",400,1000,560.0,2020-11-17
Blue Orange Pte Ltd,Business Development / Sales,Full-Time Education Sales Consultant,"['full-tim', 'educ', 'sale', 'consult']",1700,2000,1700,2020-11-19
Ef Software Pte Ltd,Engineering,IT Support Engineer,"['IT', 'support', 'engin']",2000,2500,2000,2020-11-18
-,Business Development / Sales,[FAST HIRE!] Management Trainee / $1500 TO $3000 / CBD / Permanent  ,"['fast', 'hire', 'manag', 'traine', 'TO', 'cbd', 'perman']",1500,3000,1800.0,2020-11-23
Roycemedia Technologies Pte Ltd,Software Engineering,UNITY 3D DEVELOPER,"['uniti', '3D', 'develop']",2000,3000,2000.0,2020-11-12
Recruitment Agency,Consulting,Audit Manager,"['audit', 'manag']",5000,6000,5000,2020-11-20
RateS,Operations,Operations Executive (Contract basis),"['oper', 'execut', 'contract', 'basi']",2000,2500,2000,2020-11-20
One Click,Consulting,Sales & Marketing Associate (Nov/Dec Intake),"['sale', 'market', 'associ', 'nov/dec', 'intak']",2500,3500,2500,2020-11-26
Prelude Recruit,Business Development / Sales,B2B Business Development Associate (Sales and Marketing) ,"['b2b', 'busi', 'develop', 'associ', 'sale', 'and', 'market']",2200,3500,2280.0,2020-11-15
Accela Pte Ltd,Administrative,"CEI Certified Operations Administrator (part-time, 20 hours per week)","['cei', 'certifi', 'oper', 'administr', 'part-tim', 'hour', 'per', 'week']",1200,1500,1200,2020-11-20
Distinction Tutors,Marketing,Search Engine Optimization Analyst (SGTraineeship),"['search', 'engin', 'optim', 'analyst', 'sgtraineeship']",3000,3000,3000,2020-11-24
The Farrer Park Company Pte Ltd,Other,IT Helpdesk & EUC Specialist (Shift Work | Junior Role),"['IT', 'helpdesk', 'euc', 'specialist', 'shift', 'work', 'junior', 'role']",2000,2500,2000,2020-11-18
Maveric Systems Ltd Singapore Branch,Engineering,Python Developer,"['python', 'develop']",5000,7500,5000.0,2020-11-12
RL Consultancy Pte Ltd,Business Development / Sales,Sales & Marketing Executive,"['sale', 'market', 'execut']",2000,3500,2200.0,2020-11-25
Hyper Growth Academy,Business Development / Sales,Senior/ Sales Executive,"['senior/', 'sale', 'execut']",3000,6000,3600.0,2020-11-16
Recruitment Agency,Legal,Junior Legal Secretary (IP/Patent),"['junior', 'legal', 'secretari', 'ip/pat']",1800,2600,1800,2020-11-20
Maveric Systems Ltd Singapore Branch,Data Science,Data Lead,"['data', 'lead']",8000,10000,8000,2020-11-20
-,Finance,[INTERESTING OPPORTUNITY!] Financial Advisor/ $2000-$4000 per month + COMMS / CBD / Flexible Hours,"['interest', 'opportun', 'financi', 'advisor/', 'per', 'month', 'comm', 'cbd', 'flexibl', 'hour']",2000,4000,2400.0,2020-11-20
Alliance Capitol,Business Development / Sales,Financial Specialist,"['financi', 'specialist']",2500,6000,3400.0,2020-11-13
Stagencies Pte Ltd,Healthcare,Radiographer | Radiography (Radiology),"['radiograph', 'radiographi', 'radiolog']",4500,5000,4500,2020-11-17
GNS Learning Hub Pte Ltd,Administrative,Looking for Fresh Poly Graduates,"['look', 'for', 'fresh', 'poli', 'graduat']",1600,1800,1600,2020-11-19
ScienTec Consulting Pte Ltd,Business Development / Sales,Recruitment Consultant,"['recruit', 'consult']",2000,2500,2000,2020-11-18
AYP Group Pte Ltd,Business Development / Sales,"Software Sales Executive (Career Opportunities, Great Culture) #SGUP","['softwar', 'sale', 'execut', 'career', 'opportun', 'great', 'cultur', 'sgup']",2500,3000,2500,2020-11-16
Prelude Recruit,Business Development / Sales,Sales and Business Development (B2B) ,"['sale', 'and', 'busi', 'develop', 'b2b']",2500,3500,2500,2020-11-23
Itaccess Pte Ltd,Consulting,Solution Specalist (Pre-Sales),"['solut', 'specalist', 'pre-sal']",3500,4500,3500,2020-11-16
Pag Advisory Pte Ltd,Finance,Financial Management Trainee (Estate Planning),"['financi', 'manag', 'traine', 'estat', 'plan']",1600,3500,2040.0,2020-11-19
Hyper 21 Enterprises Pte Ltd,Finance,Accounts cum Admin Executive,"['account', 'cum', 'admin', 'execut']",2000,2500,2000,2020-11-23
The Kettle Gourmet Pte Ltd,Other,Article Writer,"['articl', 'writer']",800,1000,800,2020-11-20
Recruitment Agency,Administrative,Legal Secretary ,"['legal', 'secretari']",2800,3600,2800,2020-11-20
Service Back Pte Ltd,Finance,Business Analyst,"['busi', 'analyst']",3000,3500,3000,2020-11-17
Sand Associates,Marketing,Digital Marketer,"['digit', 'market']",1800,2500,1800,2020-11-24
Roycemedia Technologies Pte Ltd,Software Engineering,Software Developer (.net developer),"['softwar', 'develop', '.net', 'develop']",2000,3000,2000.0,2020-11-12
Talentvis Singapore,Administrative,Bank Admin X2 | Local bank | Central | From $1600/mth,"['bank', 'admin', 'X2', 'local', 'bank', 'central', 'from', '1600/mth']",1200,1500,1200,2020-11-17
Stagencies Pte Ltd,Healthcare,Dental Assistant,"['dental', 'assist']",2200,2500,2200,2020-11-25
ScienTec Consulting Pte Ltd,Business Development / Sales,Inside Sales Trainee #SGUnitedTraineeships,"['insid', 'sale', 'traine', 'sgunitedtraineeship']",1800,2200,1800,2020-11-18
Anthology Pte Ltd,Software Engineering,Mobile App Developer,"['mobil', 'app', 'develop']",4000,6000,4000.0,2020-11-17
Sagepaths Global Education,Business Development / Sales,Senior / Education Consultant (Chinese Speaking),"['senior', 'educ', 'consult', 'chines', 'speak']",2000,2500,2000,2020-11-17
NTUC Health,Healthcare,Community Nurse (Daycare),"['commun', 'nurs', 'daycar']",2000,4500,2600.0,2020-11-26
Stagencies Pte Ltd,Other,URGENTLY HIRING F&B STAFF,"['urgent', 'hire', 'F', 'B', 'staff']",1400,3500,1960.0,2020-11-25
IS PTE LTD,Business Development / Sales,Pre-Sales Consultant,"['pre-sal', 'consult']",3500,7000,4200.0,2020-11-25
Nahimic Singapore Pte Ltd,Software Engineering,Software Engineer,"['softwar', 'engin']",3000,3500,3000,2020-06-29
Bluelambda Private Limited,Design,Video Editor Executive (Premiere Pro/After Effects) - eCommerce Digital Marketing Agency,"['video', 'editor', 'execut', 'premier', 'pro/aft', 'effect', 'ecommerc', 'digit', 'market', 'agenc']",1600,3000,1840.0,2020-11-17
IS PTE LTD,Business Development / Sales,Sales Executive,"['sale', 'execut']",2500,4500,2800.0,2020-11-26
TD Private and Confidential,Software Engineering,Backend Developer,"['backend', 'develop']",5000,10000,6000.0,2020-11-26
One Click,Marketing,"Business Development Associate (Entry Level, Office Hours)","['busi', 'develop', 'associ', 'entri', 'level', 'offic', 'hour']",2500,3500,2500,2020-11-26
Advo Education Centre Pte Ltd,Education,Academic Coach (Math),"['academ', 'coach', 'math']",2500,3500,2500,2020-11-16
HT PTE LTD,Engineering,Automotive Mechanic,"['automot', 'mechan']",1000,1800,1120.0,2020-11-24
Arcadier,Software Engineering,Pre-Sales Software Engineer,"['pre-sal', 'softwar', 'engin']",3000,4000,3000,2020-11-24
Remitano,Business Development / Sales,Business Development Specialists,"['busi', 'develop', 'specialist']",800,1500,920.0,2020-07-20
Advantage Group - Singapore,Product Management,Product Sales Executive,"['product', 'sale', 'execut']",2000,4000,2400.0,2020-11-23
