Company,Job Category,Title,Processed Title,Min Salary,Max Salary,Adjusted Salary,Last Update
ProSpace Pte Ltd,Business Development / Sales,Business Development Executive,"['busi', 'develop', 'execut']",2500,2800,2500,2021-03-25
STARR E.T.C.,Finance,Management Trainee (Work Study Programme),"['manag', 'traine', 'work', 'studi', 'programm']",1600,2200,1600,2021-03-24
Load And Go,Business Development / Sales,Business Development Manager,"['busi', 'develop', 'manag']",2500,3500,2500,2021-03-24
Asia Innovatory Management School,Education,H1/H2 Economics Teacher,"['h1/h2', 'econom', 'teacher']",3500,5000,3500,2021-03-24
Moxie,Business Development / Sales,Events & Marketing Representative ,"['event', 'market', 'repres']",2000,4500,2600.0,2021-03-24
Braverywf,Operations,Brand ambassador ,"['brand', 'ambassador']",2000,3000,2000.0,2021-03-24
Resolutez,Business Development / Sales,Sales development representative (Entry level),"['sale', 'develop', 'repres', 'entri', 'level']",2500,4000,2600.0,2021-03-24
Atlas Marketing Group,Marketing,Marketing Trainee,"['market', 'traine']",2500,4500,2800.0,2021-03-24
Resolutez,Business Development / Sales,Sales development representative (No experience needed),"['sale', 'develop', 'repres', 'No', 'experi', 'need']",2500,4000,2600.0,2021-03-23
Stagencies Pte Ltd,Business Development / Sales,Business Development Executive,"['busi', 'develop', 'execut']",1500,3500,2000.0,2021-03-25
Everyworks Singapore,Marketing,Digital Content Marketing Assistant/Executive,"['digit', 'content', 'market', 'assistant/execut']",1800,2500,1800,2021-03-24
Shopmatic Pte Ltd,Other,Lifecycle Campaign Manager,"['lifecycl', 'campaign', 'manag']",1,2,1.2000000000000002,2021-03-25
Atlas Marketing Group,Marketing,Marketing Affiliate,"['market', 'affili']",2500,4500,2800.0,2021-03-24
ZumVet,Product Management,Product Manager,"['product', 'manag']",5000,8000,5200.0,2021-03-25
Braverywf,Business Development / Sales,Corporate sales leader,"['corpor', 'sale', 'leader']",2000,3300,2120.0,2021-03-24
Aegis Organization,Marketing,Social Media Content Creator,"['social', 'media', 'content', 'creator']",800,1000,800,2021-03-24
Jk Group,Business Development / Sales,Business Development Executive,"['busi', 'develop', 'execut']",3000,5000,3200.0,2021-03-23
Globalwide International Pte Ltd,Other,SENIOR QUANTITY SURVEYOR / QUANTITY SURVEYOR,"['senior', 'quantiti', 'surveyor', 'quantiti', 'surveyor']",2500,5500,3200.0,2021-03-23
STARR E.T.C.,Business Development / Sales,Financial Planner (Work Study Diploma),"['financi', 'planner', 'work', 'studi', 'diploma']",1600,2200,1600,2021-03-24
The Mandala Group,Hospitality and Travel,Chef De Partie / Senior Chef De Partie / Junior Sous Chef (Full time up to $3500 + benefits),"['chef', 'De', 'parti', 'senior', 'chef', 'De', 'parti', 'junior', 'sou', 'chef', 'full', 'time', 'up', 'to', 'benefit']",2300,3500,2320.0,2021-03-26
Great Eastern,Finance,Financial Advisor,"['financi', 'advisor']",2000,3000,2000.0,2021-03-25
Maven Potter,Media & Communications,Account Associate,"['account', 'associ']",2800,3200,2800,2021-03-25
Dyna-mac Engineering Services Pte Ltd,Human Resource,HR/ADMIN EXECUTIVE,"['hr/admin', 'execut']",2400,3000,2400,2021-03-25
Dazzle,Management,Project Leader ,"['project', 'leader']",2000,3000,2000.0,2021-03-24
Tpc Hotel Pte Ltd,Finance,Management Trainee (Finance),"['manag', 'traine', 'financ']",1000,1500,1000.0,2021-03-23
DSTNCT Pte Ltd,Design,Graphic Designer,"['graphic', 'design']",2500,3000,2500,2021-03-25
The Mandala Group,Hospitality and Travel,Captain (Full time flexi 36hrs / 3-4 workdays per week),"['captain', 'full', 'time', 'flexi', '36hr', 'workday', 'per', 'week']",1400,1400,1400,2021-03-26
Ezsy Pte Ltd,Marketing,Marketing Manager,"['market', 'manag']",3500,5000,3500,2021-03-23
The Mandala Group,Hospitality and Travel,Sommelier,['sommeli'],2850,4000,2850,2021-03-26
Braverywf,Marketing,Sales & marketing ,"['sale', 'market']",2000,3300,2120.0,2021-03-24
CYS Global Remit Pte Ltd,Business Development / Sales,Telemarketing Executive,"['telemarket', 'execut']",2300,2500,2300,2021-03-24
Resync Technologies,Software Engineering,Software Engineer,"['softwar', 'engin']",3000,5000,3200.0,2021-03-23
Myer Gold Investment Management Pte. Ltd.,Finance,Finance Executive,"['financ', 'execut']",2200,3000,2200,2021-03-26
Moxie,Marketing,Events and Marketing Representative (Entry Level ),"['event', 'and', 'market', 'repres', 'entri', 'level']",2000,4500,2600.0,2021-03-25
Moxie,Business Development / Sales,Events and Marketing Representative (Entry Level ),"['event', 'and', 'market', 'repres', 'entri', 'level']",2500,4500,2800.0,2021-03-24
Benny Kee Financial Group,Administrative,Personal Admin,"['person', 'admin']",800,2000,1120.0,2021-03-24
Tsuru Holdings Pte Ltd,Operations,RETAIL ASSISTANT,"['retail', 'assist']",1800,2200,1800,2021-03-24
Synergy Marketing,Marketing,Sales & Marketing Leaders,"['sale', 'market', 'leader']",2000,4000,2400.0,2021-03-26
Braverywf,Media & Communications,Event ambassador ,"['event', 'ambassador']",2000,3000,2000.0,2021-03-24
Shopmatic Pte Ltd,Business Development / Sales,E-Commerce Business Developement Executive,"['e-commerc', 'busi', 'develop', 'execut']",1,2,1.2000000000000002,2021-03-25
Resolutez,Business Development / Sales,Sales and Marketing Representative,"['sale', 'and', 'market', 'repres']",2500,5000,3000.0,2021-03-24
RYSH Organization,Business Development / Sales,Sales Representative (Entry Level),"['sale', 'repres', 'entri', 'level']",2500,5500,3200.0,2021-03-24
Structo,Other,Production Technician  (6 months),"['product', 'technician', 'month']",2000,2166,2000,2021-03-24
Riveria Marketing,Business Development / Sales,Junior Sales Executive (High Commission),"['junior', 'sale', 'execut', 'high', 'commiss']",3000,3500,3000,2021-03-23
Ignite Marketing Group ,Business Development / Sales,Business Development Associate (Fresh Grad/ORD!),"['busi', 'develop', 'associ', 'fresh', 'grad/ord']",2800,4500,2920.0,2021-03-23
Braverywf,Product Management,Project leader,"['project', 'leader']",2000,3000,2000.0,2021-03-24
Everyworks Singapore,Marketing,SEO Content Writer / Editor,"['seo', 'content', 'writer', 'editor']",1800,2500,1800,2021-03-24
Ezsy Pte Ltd,Human Resource,HR EXECUTIVE,"['HR', 'execut']",2700,4000,2700,2021-03-23
Shopmatic Pte Ltd,Finance,Finance Controller,"['financ', 'control']",1,2,1.2000000000000002,2021-03-25
Vanguard Interiors,Operations,Project Executive,"['project', 'execut']",2000,2500,2000,2021-03-24
Anthology Pte Ltd,Marketing,Account Manager - Digital Marketing,"['account', 'manag', 'digit', 'market']",3500,5000,3500,2021-03-23
Ultimate Desk Pte Ltd,Business Development / Sales,Full-Time Retail Associate,"['full-tim', 'retail', 'associ']",1700,2000,1700,2021-03-24
-,Business Development / Sales,[FAST HIRE!] Management Trainee / $1500 TO $4000 / CBD / Permanent  ,"['fast', 'hire', 'manag', 'traine', 'TO', 'cbd', 'perman']",1500,4000,2200.0,2021-03-23
Eaglesview Marketing Pte Ltd,Marketing,Product Marketing Representatives (Coaching provided),"['product', 'market', 'repres', 'coach', 'provid']",2000,4000,2400.0,2021-03-25
Alinea Marketing Group,Business Development / Sales,Sales and Marketing Associates (Entry Level) ,"['sale', 'and', 'market', 'associ', 'entri', 'level']",2500,3500,2500,2021-03-23
Allinton Engineering & Trading Pte Ltd,Human Resource,Human Resource Executive,"['human', 'resourc', 'execut']",2600,2800,2600,2021-03-24
Ten Of Ten Pte Ltd,Education,Guiding Teacher,"['guid', 'teacher']",1800,2500,1800,2021-03-25
Tpc Hotel Pte Ltd,Hospitality and Travel,Housekeeping Supervisor,"['housekeep', 'supervisor']",2200,2400,2200,2021-03-23
Vision Organisation,Hospitality and Travel,Sales Leader,"['sale', 'leader']",1500,2000,1500,2021-03-23
Vanguard Interiors,Design,Sales Stylist,"['sale', 'stylist']",2000,2600,2000,2021-03-26
Asia Innovatory Management School,Education,POA teacher (Sec),"['poa', 'teacher', 'sec']",3500,5000,3500,2021-03-24
Kidscode,Software Engineering,Solution and technical architect/ Senior Solution and technical architect,"['solut', 'and', 'technic', 'architect/', 'senior', 'solut', 'and', 'technic', 'architect']",6000,9000,6000.0,2021-03-23
Culina Pte Ltd,Other,Accounts Executive (AR/AP),"['account', 'execut', 'ar/ap']",2400,3000,2400,2021-03-24
The Alley Group,Marketing,Marketing Executive ,"['market', 'execut']",2500,4000,2600.0,2021-03-24
StriveMakers Group,Business Development / Sales,Management Associate Programme,"['manag', 'associ', 'programm']",2500,3500,2500,2021-03-25
Vanguard Interiors,Hospitality and Travel,Chef Assistant,"['chef', 'assist']",1600,1800,1600,2021-03-24
Randstad Pte Limited,Business Development / Sales,associate recruitment consultant (IT),"['associ', 'recruit', 'consult', 'IT']",3000,3800,3000,2021-03-25
Learners4life Pte Ltd,Other,RSGK Free-lance Trainer,"['rsgk', 'free-lanc', 'trainer']",100,800,360.0,2021-03-24
Hodie Marketing,Business Development / Sales,Business Development Associate (Immediate/Entry-Level),"['busi', 'develop', 'associ', 'immediate/entry-level']",2500,4000,2600.0,2021-03-24
Halcyon Marketing,Business Development / Sales,Business Development Associate (Office Hours),"['busi', 'develop', 'associ', 'offic', 'hour']",2500,4000,2600.0,2021-03-25
Vanguard Interiors,Other,Server,['server'],1900,2200,1900,2021-03-26
Alinea Marketing Group,Business Development / Sales,Corporate Sales and Marketing Executive (Entry Level) ,"['corpor', 'sale', 'and', 'market', 'execut', 'entri', 'level']",2500,3500,2500,2021-03-25
Nilezs Pte. Ltd.,Marketing,Social Media Specialist,"['social', 'media', 'specialist']",2500,3500,2500,2021-03-24
Randstad Pte Limited,Business Development / Sales,associate recruitment consultant (property/engineering/supply chain),"['associ', 'recruit', 'consult', 'property/engineering/suppli', 'chain']",3000,3800,3000,2021-03-25
Riveria Marketing,Business Development / Sales,Business Development Associate (Immediate Start),"['busi', 'develop', 'associ', 'immedi', 'start']",3000,5000,3200.0,2021-03-25
Cooking Art Industries P/l,Human Resource,Personal Assistant to Managing Director/Community Manager ,"['person', 'assist', 'to', 'manag', 'director/commun', 'manag']",1000,1600,1040.0,2021-03-25
Resonate Marketing,Business Development / Sales,B2B Corporate Sales Associate (Entry-Level/IMMEDIATE!!),"['b2b', 'corpor', 'sale', 'associ', 'entry-level/immedi']",2500,3500,2500,2021-03-25
OrangeTee & Tie Pte Ltd,Operations,Customer Relationship Specialist (1 Year Contract),"['custom', 'relationship', 'specialist', 'year', 'contract']",2000,2300,2000,2021-03-24
The Alley Group,Administrative,Administrative Assistant,"['administr', 'assist']",1800,2500,1800,2021-03-24
Qxpress Pte Ltd,Business Development / Sales,Sales Manager,"['sale', 'manag']",3000,7000,4000.0,2021-03-24
Vita Enterprises Pte Ltd,Administrative,ADMIN ASSISTANT @ YISHUN,"['admin', 'assist', 'yishun']",2200,2400,2200,2021-03-23
Infinity Core Pte. Ltd.,Business Development / Sales,Sales Account Executive,"['sale', 'account', 'execut']",2200,3500,2280.0,2021-03-23
Nyology Pte. Ltd. ,Other,Construction/ Building/ Plumbing Worker ,"['construction/', 'building/', 'plumb', 'worker']",1400,2000,1400,2021-03-24
Culina Pte Ltd,Other,Customer Service Officer,"['custom', 'servic', 'offic']",2000,2500,2000,2021-03-24
AXA Insurance Pte. Ltd.,Human Resource,HR Executive,"['HR', 'execut']",2400,3000,2400,2021-03-26
Randstad Pte Limited,Business Development / Sales,associate recruitment consultant (life sciences),"['associ', 'recruit', 'consult', 'life', 'scienc']",3000,3800,3000,2021-03-25
Allinton Engineering & Trading Pte Ltd,Business Development / Sales,Outdoor Sales Executive,"['outdoor', 'sale', 'execut']",2600,5000,3040.0,2021-03-24
Alcotech Pte Ltd,Operations,Copywriter Operational Executive,"['copywrit', 'oper', 'execut']",2500,3200,2500,2021-03-25
Vlc Marketing,Business Development / Sales,Junior Sales Associate (MARCH INTAKE/ENTRY LEVEL),"['junior', 'sale', 'associ', 'march', 'intake/entri', 'level']",3000,3500,3000,2021-03-25
StriveMakers Group,Business Development / Sales,Sales and Marketing Executive,"['sale', 'and', 'market', 'execut']",2500,3500,2500,2021-03-25
Bluente,Software Engineering,Software Engineer,"['softwar', 'engin']",4000,7000,4400.0,2021-03-25
Vance Chemicals Pte Ltd,Operations,Purchasing Assistant,"['purchas', 'assist']",2400,2800,2400,2021-03-24
Vision Organisation,Business Development / Sales,Sales Representative (Entry-Level),"['sale', 'repres', 'entry-level']",1500,2000,1500,2021-03-23
Halcyon Marketing,Business Development / Sales,Sales Development Representative (Office Hrs),"['sale', 'develop', 'repres', 'offic', 'hr']",2500,4000,2600.0,2021-03-23
Actstitude Pte Ltd,Marketing,Social Media Executives,"['social', 'media', 'execut']",2300,2400,2300,2021-03-23
Vanguard Interiors,Other,Bartender,['bartend'],1800,2300,1800,2021-03-26
Allinton Engineering & Trading Pte Ltd,Finance,Accounts Assistant / Executive,"['account', 'assist', 'execut']",1800,2400,1800,2021-03-24
Vanguard Interiors,Management,Outlet Manager,"['outlet', 'manag']",3500,4200,3500,2021-03-26
Toffs Technologies Pte Ltd,Software Engineering,Support Executive,"['support', 'execut']",2100,2900,2100,2021-03-25
Allinton Engineering & Trading Pte Ltd,Operations,Purchasing Assistant / Executive,"['purchas', 'assist', 'execut']",1800,2400,1800,2021-03-24
Stranger Soccer,Other,Official Host Supervisor,"['offici', 'host', 'supervisor']",900,1200,900,2021-03-24
Ignite Marketing Group ,Language and Translation,Sales & Marketing ,"['sale', 'market']",3000,4500,3000.0,2021-03-23
Synergy Marketing,Marketing,Sales & Marketing Leaders [Coaching Provided],"['sale', 'market', 'leader', 'coach', 'provid']",2000,4000,2400.0,2021-03-23
Dyna-mac Engineering Services Pte Ltd,Finance,Accounts Assistant ,"['account', 'assist']",2200,2700,2200,2021-03-25
Allinton Engineering & Trading Pte Ltd,Other,Quantity Surveyor,"['quantiti', 'surveyor']",3500,3700,3500,2021-03-24
Recruit Express Pte Ltd,Human Resource,HR Recruiter (Management Trainee) ,"['HR', 'recruit', 'manag', 'traine']",2900,3400,2900,2021-03-24
Collinson (singapore) Pte Ltd,Other,Assistant IT Manager,"['assist', 'IT', 'manag']",4000,5500,4000,2021-03-25
Ignite Marketing Group ,Business Development / Sales,Brand Ambassador (Entry Level),"['brand', 'ambassador', 'entri', 'level']",2500,4500,2800.0,2021-03-23
Iq Dynamics Pte Ltd,Engineering,Junior System Engineer (Cloud and On-Premise Systems and End User Computing),"['junior', 'system', 'engin', 'cloud', 'and', 'on-premis', 'system', 'and', 'end', 'user', 'comput']",2500,3000,2500,2021-03-23
Resolutez,Business Development / Sales,Event sales representative (No experience needed),"['event', 'sale', 'repres', 'No', 'experi', 'need']",2500,4000,2600.0,2021-03-24
Cuturi Gallery,Business Development / Sales,Art Gallery Manager,"['art', 'galleri', 'manag']",3000,5000,3200.0,2021-03-23
Prelude Recruit,Business Development / Sales,Sales and Marketing Representative (Immediate Start),"['sale', 'and', 'market', 'repres', 'immedi', 'start']",2500,4000,2600.0,2021-03-24
Redwoods Advance,Marketing,Sales Representative (Fast Hire!),"['sale', 'repres', 'fast', 'hire']",1500,3000,1800.0,2021-03-26
Randstad Pte Limited,Business Development / Sales,associate recruitment consultant (banking),"['associ', 'recruit', 'consult', 'bank']",3000,3800,3000,2021-03-25
Ascen Resources (S) Pte Ltd,Operations,Operations Executive (Product),"['oper', 'execut', 'product']",2200,3000,2200,2021-03-24
Hong An Engineering,Administrative,Account and Admin Assistant,"['account', 'and', 'admin', 'assist']",2000,2700,2000,2021-03-25
The Mandala Group,Hospitality and Travel,Captain / Senior Captain (Full time up to $2900 + benefits),"['captain', 'senior', 'captain', 'full', 'time', 'up', 'to', 'benefit']",1900,2900,1920.0,2021-03-26
Care Community Services Society,Education,Programme Coordinator (Student Care Centre) – Contract Positions,"['programm', 'coordin', 'student', 'care', 'centr', 'contract', 'posit']",1600,2500,1640.0,2021-03-24
Shopmatic Pte Ltd,Management,Business Improvement & Enablement Director,"['busi', 'improv', 'enabl', 'director']",1,2,1.2000000000000002,2021-03-25
Bigfoot Logistic,Administrative,Admin Assistant - Fleet Management,"['admin', 'assist', 'fleet', 'manag']",1500,1800,1500,2021-03-25
StriveMakers Group,Business Development / Sales,Mortgage Specialist,"['mortgag', 'specialist']",2500,3500,2500,2021-03-25
Fourth Paradigm Southeast Asia Pte Ltd,Engineering,Junior FPGA Application Developer,"['junior', 'fpga', 'applic', 'develop']",5000,10000,6000.0,2021-03-24
Pag Advisory Pte Ltd,Finance,Financial Management Executive  (Estate Planning),"['financi', 'manag', 'execut', 'estat', 'plan']",1600,3500,2040.0,2021-03-25
Jobkred Pte Ltd,Business Development / Sales,Customer Success Manager,"['custom', 'success', 'manag']",3500,4500,3500,2021-03-24
-,Other,[FAST HIRE NO EXPERIENCED NEEDED!] Wealth Management Associate (Singapore)/Up to $4000,"['fast', 'hire', 'NO', 'experienc', 'need', 'wealth', 'manag', 'associ', 'singapor', '/up', 'to']",2000,4000,2400.0,2021-03-23
Load And Go,Business Development / Sales,Business Development Lead,"['busi', 'develop', 'lead']",2500,3500,2500,2021-03-24
Synergy Marketing,Marketing,Project Leaders (Sales & Marketing),"['project', 'leader', 'sale', 'market']",2000,4000,2400.0,2021-03-26
Vision Organisation,Administrative,Sales and Marketing Leader,"['sale', 'and', 'market', 'leader']",1500,2000,1500,2021-03-23
Ailytics,Software Engineering,AI Enginner ,"['AI', 'enginn']",800,1000,800,2021-03-24
The Mandala Group,Hospitality and Travel,Chef De Partie / Senior Chef De Partie / Junior Sous Chef (Part-time up to $15/hr),"['chef', 'De', 'parti', 'senior', 'chef', 'De', 'parti', 'junior', 'sou', 'chef', 'part-tim', 'up', 'to', '15/hr']",1900,3500,2160.0,2021-03-26
Dazzle,Marketing,Events & Marketing Representative,"['event', 'market', 'repres']",2500,3500,2500,2021-03-23
Prem Roy Motoring Pte Ltd,Business Development / Sales,TELESALES,['telesal'],1200,2000,1280.0,2021-03-03
StaffAny,Business Development / Sales,Senior Account Executive,"['senior', 'account', 'execut']",2500,4500,2800.0,2021-03-03
Halcyon Marketing,Marketing,B2B Sales Associate (Office Hours),"['b2b', 'sale', 'associ', 'offic', 'hour']",2500,5000,3000.0,2021-02-28
Advisors Clique - Patrick Loh,Finance,Financial Student Planner,"['financi', 'student', 'planner']",500,800,520.0,2021-02-26
Halcyon Marketing,Marketing,Sales Development Representative (Office Hrs),"['sale', 'develop', 'repres', 'offic', 'hr']",2500,5000,3000.0,2021-02-27
One X Tech,Business Development / Sales,Business Strategy Executive,"['busi', 'strategi', 'execut']",2500,4000,2600.0,2021-03-03
Joey Ong & Associates,Finance,MULTIPLE JOB OPPORTUNITIES FOR STUDENTS,"['multipl', 'job', 'opportun', 'for', 'student']",1,2000,800.4000000000001,2021-02-26
Reactor School,Marketing,Education Marketing Specialist,"['educ', 'market', 'specialist']",2500,5000,3000.0,2021-03-02
Service Back Pte Ltd,Business Development / Sales,Sales Admin,"['sale', 'admin']",1500,3000,1800.0,2021-03-01
Advisors Clique - Patrick Loh,Finance,Graduate Trainee Financial Advisor,"['graduat', 'traine', 'financi', 'advisor']",2000,6000,3200.0,2021-03-01
The Care Svc,Marketing,Marketing Executive ,"['market', 'execut']",2000,3500,2200.0,2021-03-03
Recruit Express Pte Ltd,Human Resource,HR & Payroll Executive ,"['HR', 'payrol', 'execut']",3000,3500,3000,2021-03-02
RYSH Organization,Business Development / Sales,"B2B Sales Representative (FUN,TEAM,PROGRESS)","['b2b', 'sale', 'repres', 'fun', 'team', 'progress']",2500,5500,3200.0,2021-02-28
Recruit Express Pte Ltd,Business Development / Sales,HR Business Associate (Talent Sourcing) - Graduate Careers!,"['HR', 'busi', 'associ', 'talent', 'sourc', 'graduat', 'career']",2500,2900,2500,2021-03-02
Starry Homestead Pte Ltd,Administrative,Account Admin Officer,"['account', 'admin', 'offic']",1600,2600,1680.0,2021-02-25
S B Tan Audit Pac,Finance,Accountant,['account'],1800,3500,2120.0,2021-03-03
Bukit Batok Driving Centre Ltd,Education,Driving Instructor / Instructress,"['drive', 'instructor', 'instructress']",2430,2720,2430,2021-02-26
Takagi Ramen,Business Development / Sales,Business Development Manager,"['busi', 'develop', 'manag']",5000,9000,5600.0,2021-03-01
Resolutez,Business Development / Sales,Event marketing representative,"['event', 'market', 'repres']",2500,4000,2600.0,2021-03-02
Avatamed Pte. Ltd.,Other,Laboratory Manager,"['laboratori', 'manag']",5000,6500,5000,2021-02-25
Consulting Group - Asia Insight Pte Ltd,Operations,Field Project Executive,"['field', 'project', 'execut']",2600,3300,2600,2021-03-02
Singapore College Of Insurance,Education,Curriculum Development Officer  ,"['curriculum', 'develop', 'offic']",3000,3500,3000,2021-02-25
Redbrick Mortgage Advisory,Business Development / Sales,Mortgage Advisor,"['mortgag', 'advisor']",3000,8000,4400.0,2021-03-02
Ignite Marketing Group ,Marketing,MMEDIATE STARTER: Corporate Sales and Marketing Associate ,"['mmediat', 'starter', 'corpor', 'sale', 'and', 'market', 'associ']",2800,4500,2920.0,2021-03-01
Eden Cube Marketing Group Pte Ltd,Marketing,Events and Sales Representative (Fun Learning Environment),"['event', 'and', 'sale', 'repres', 'fun', 'learn', 'environ']",2000,4000,2400.0,2021-03-01
AYP Group Pte Ltd,Business Development / Sales,Sales Executive (No cold call) #SGUP,"['sale', 'execut', 'No', 'cold', 'call', 'sgup']",2500,3000,2500,2021-02-25
Pickupp Pte Ltd,Operations,Operations Executive,"['oper', 'execut']",2600,3300,2600,2021-03-02
Advisors Clique - Patrick Loh,Finance,Financial Advisor,"['financi', 'advisor']",2000,6000,3200.0,2021-03-02
Senoko Energy Pte Ltd,Business Development / Sales,Sales Associate,"['sale', 'associ']",2400,2800,2400,2021-03-02
AYP Group Pte Ltd,Business Development / Sales,"Channel Sales Executive (Career Opportunity, Good Working Environment)","['channel', 'sale', 'execut', 'career', 'opportun', 'good', 'work', 'environ']",2500,3200,2500,2021-02-25
Dynamic Human Capital Pte Ltd,Healthcare,Staff Nurse - Specialist Clinic ,"['staff', 'nurs', 'specialist', 'clinic']",2000,4000,2400.0,2021-03-02
Resolutez,Marketing,Sales Associate,"['sale', 'associ']",2500,4000,2600.0,2021-02-25
Advisors' Bloc Pte Ltd,Finance,Student Planner,"['student', 'planner']",2000,5000,2800.0,2021-03-01
Braverywf,Hospitality and Travel,Event ambassador ,"['event', 'ambassador']",2000,3000,2000.0,2021-02-28
Finxflo,Software Engineering,Senior Java Back-End Developer,"['senior', 'java', 'back-end', 'develop']",7000,9000,7000,2021-02-26
Porcelain Pte. Ltd.,Other,Beauty Therapist,"['beauti', 'therapist']",2500,4000,2600.0,2021-02-26
Foodsterr,Marketing,Marketing Analyst,"['market', 'analyst']",2200,2600,2200,2021-03-02
2359 Media,Software Engineering,.NET Developer,"['.net', 'develop']",5000,7000,5000,2021-02-25
Qiren,Operations,Customer Service and Administrative Assistant,"['custom', 'servic', 'and', 'administr', 'assist']",1400,2000,1400,2021-03-02
Halcyon Marketing,Business Development / Sales,B2B Sales Representative (Office hrs),"['b2b', 'sale', 'repres', 'offic', 'hr']",2500,5000,3000.0,2021-03-02
DollarsAndSense.sg,Media & Communications,Finance Content Editor,"['financ', 'content', 'editor']",3500,4600,3500,2021-02-28
Eden Cube Marketing Group Pte Ltd,Marketing,Events and Sales Ambassador (Coaching Provided),"['event', 'and', 'sale', 'ambassador', 'coach', 'provid']",2000,4000,2400.0,2021-03-01
Advisors Clique - Patrick Loh,Finance,Financial Consultant,"['financi', 'consult']",2000,6000,3200.0,2021-02-26
Mij Adwerkz,Administrative,Sales Admin,"['sale', 'admin']",1600,1800,1600,2021-03-01
Accion Labs Pte Ltd,Software Engineering,Senior Software Engineer (Java,"['senior', 'softwar', 'engin', 'java']",4000,5800,4000,2021-02-25
CrescoData,Other,Technical Solutions Specialist,"['technic', 'solut', 'specialist']",4000,7000,4400.0,2021-03-02
Kairos Organization,Business Development / Sales,Sales Development Representative (20s-30s only!) ,"['sale', 'develop', 'repres', '20s-30', 'onli']",2500,5500,3200.0,2021-03-01
Million Marketing,Business Development / Sales,B2B Sales Representative (Entry Level),"['b2b', 'sale', 'repres', 'entri', 'level']",2500,5500,3200.0,2021-03-01
Prelude Recruit,Business Development / Sales,Sales Development Representative (B2B) ,"['sale', 'develop', 'repres', 'b2b']",2500,4000,2600.0,2021-03-03
Finxflo,Software Engineering,Front-End React JS and React-Native Developer,"['front-end', 'react', 'JS', 'and', 'react-n', 'develop']",5000,10000,6000.0,2021-02-26
Navisteps,Business Development / Sales,Business Development & Marketing Executive,"['busi', 'develop', 'market', 'execut']",2600,3500,2600,2021-03-03
Supreme Marketing,Business Development / Sales,"B2B Corporate Sales Associate / Representative (Entry Level, no experiences required! / Office hours)","['b2b', 'corpor', 'sale', 'associ', 'repres', 'entri', 'level', 'no', 'experi', 'requir', 'offic', 'hour']",2500,3500,2500,2021-03-03
Financial,Administrative,Admin Assistant,"['admin', 'assist']",2000,2200,2000,2021-03-01
Advisors Alliance Group,Finance,Financial Consultant,"['financi', 'consult']",500,4000,1800.0,2021-03-03
Yamato Transport (s) Pte Ltd,Operations,Traffic Officer,"['traffic', 'offic']",1500,2100,1500,2021-03-02
Think Academy International education Pte. Ltd.,Business Development / Sales,Learning Partner Consultant,"['learn', 'partner', 'consult']",2500,3500,2500,2021-03-02
OneLink HR Consultancy Pte Ltd,Business Development / Sales,360 Recruiter,['recruit'],1600,2500,1640.0,2021-03-02
QuEST Global Services Pte Ltd,Engineering,Senior Airframe Engineer  (Fatigue & Damage Tolerance Stress Analysis),"['senior', 'airfram', 'engin', 'fatigu', 'damag', 'toler', 'stress', 'analysi']",7200,8200,7200,2021-03-01
Aptitude Software Limited Singapore Branch,Consulting,Graduate Pre-Sales Consultant,"['graduat', 'pre-sal', 'consult']",3500,4500,3500,2021-03-02
Revolution,Business Development / Sales,Sales Consultant,"['sale', 'consult']",1500,5000,2600.0,2021-03-02
Cresco Investments Pte Ltd,Business Development / Sales,Sales and Business Development Manager,"['sale', 'and', 'busi', 'develop', 'manag']",3000,5000,3200.0,2021-03-03
Prelude Recruit,Business Development / Sales,B2B Sales and Marketing,"['b2b', 'sale', 'and', 'market']",2500,4000,2600.0,2021-03-02
One X Tech,Software Engineering,Software Developer,"['softwar', 'develop']",3000,4000,3000,2021-03-03
Starr Financial Advisor - Gordon Lee,Finance,Management Trainee,"['manag', 'traine']",2000,6000,3200.0,2021-02-25
Your Business Listing Pte Ltd,Other,TeleSales Executive,"['telesal', 'execut']",2500,3700,2500,2021-03-01
Corporate Finedge Pte Ltd,Administrative,Corporate Secretarial Admin,"['corpor', 'secretari', 'admin']",800,1000,800,2021-03-02
Kegmil,Business Development / Sales,Sales Development Representative ,"['sale', 'develop', 'repres']",2000,3000,2000.0,2021-03-02
Assurance Pac,Other,External Audit Associate ,"['extern', 'audit', 'associ']",800,1000,800,2021-03-02
Advisors Clique - Patrick Loh,Finance,Financial Advisory Mid-Career Switch ,"['financi', 'advisori', 'mid-car', 'switch']",2000,6000,3200.0,2021-03-02
Recruit Express Pte Ltd,Administrative,Contract Admin Executive (Education Industry - West) Up to $3.5K #JCL,"['contract', 'admin', 'execut', 'educ', 'industri', 'west', 'Up', 'to', '3.5k', 'jcl']",2000,3500,2200.0,2021-03-02
We Are Caring,Business Development / Sales,Business Development Officer ,"['busi', 'develop', 'offic']",3000,3500,3000,2021-03-03
Venue31 Llp,Marketing,Digital Marketing,"['digit', 'market']",600,1500,840.0,2021-03-02
Iq Dynamics Pte Ltd,Software Engineering,Associate Application Consultant (Projects),"['associ', 'applic', 'consult', 'project']",2500,3500,2500,2021-02-26
Eaglesview Marketing Pte Ltd,Business Development / Sales,Project Leader (Great career prospect),"['project', 'leader', 'great', 'career', 'prospect']",2000,4000,2400.0,2021-03-03
